sl.num,Grid Number,City name,Road_length,Network Density ,CA,population
240,G241,Beldanga,60.86104148,0.539747837,719.46,29205
241,G242,Saranga,320.4564716,2.813191658,1533.94,25200
242,G243,Jaynagar-Majilpur,152.2672992,1.333286743,118.46,25922
243,G244,Panchla,147.748527,1.297040193,672.17,26432
244,G245,Mamidalapadu,861.1262749,7.264434788,1632.1,26694
245,G246,Poranki,1024.669863,8.671542122,1598.7,25545
246,G247,Sundararaopeta,351.3442354,2.978322339,436.03,24112
247,G248,Tinsukia,162.4105108,1.483124475,948.81,99507
248,G249,Khambhat,93.33538273,0.818055992,548.4,98700
249,G250,Aurangabad,258.2926932,2.305592285,769.56,95929
250,G251,Chakdaha,120.197231,1.059270748,481.72,95203
251,G252,Contai,169.6874737,1.481793711,348.38,92226
252,G253,Rayachoti,287.6775704,2.407290646,470.06,91234
253,G254,Kavali,256.8705044,2.157657308,456.77,90099
254,G255,Mancheral,301.5505724,2.585312461,1096.77,89935
255,G256,Kairana,71.71586466,0.66656603,465.43,89000
256,G257,Kadiri,196.9027043,1.648177494,322.53,89429
257,G258,Madgaon,655.6298204,5.516246026,154.81,87650
258,G259,Ootacamund,481.2812235,3.986695233,483.81,88430
259,G260,Faridkot,377.1522448,3.549918595,954.33,87695
260,G261,Anakapalle,282.2204898,2.40347632,560.74,86519
261,G262,Garulia,956.4427221,8.413097806,2372.71,85336
262,G263,Sirsilla,243.4379826,2.081253086,579.62,83186
263,G264,Katoya,123.8140662,1.095738404,572.45,81615
264,G265,Kamareddipet,445.0121621,3.803234871,574.26,80315
265,G266,Bolpur,161.3946791,1.428535496,794.42,80210
266,G267,Gumla,133.826741,1.179079634,445.92,80129
267,G268,Simdega,48.28296121,0.42410225,227.52,80129
268,G269,Kottagudem,280.7232364,2.389045483,775.1,79819
269,G270,Koch Bihar,438.2220014,3.961358927,765.85,77935
270,G271,Bodhan,271.7559486,2.327203881,459.34,77573
271,G272,Karur,524.0232511,4.334070434,1735.74,76915
272,G273,Mangalagiri,880.1887552,7.447173545,822.07,73613
273,G274,Bapatla,152.4725603,1.286614009,448.24,70777
274,G275,Markapur,128.5201375,1.083691325,474.2,71092
275,G276,Malaut,198.1784361,1.856365704,755.45,70958
276,G277,Badvel,391.8733916,3.289246405,368.42,70626
277,G278,Jorhat,406.8544717,3.691423147,1484,69033
278,G279,Basavakalyan,226.2368874,1.92870232,281.46,69717
279,G280,Beypore,531.4778403,4.399082764,867.88,66883
280,G281,Bishnupur,194.1984688,1.711467812,582.61,67783
281,G282,Koratla,115.1518464,0.986967496,530.54,66504
282,G283,Pulivendla,251.5112985,2.107984124,358.69,65706
283,G284,Alipur Duar,201.4413614,1.823785575,467.16,65232
284,G285,Jaisalmer,424.2597668,3.854891294,391.79,65471
285,G286,Tadepalle,1104.026963,9.342765379,1559.84,64149
286,G287,Gadwal,187.7082854,1.586594324,419.44,63177
287,G288,Jatani,641.7156777,5.545122601,420.23,63697
288,G289,Kodad,228.5943845,1.939732407,532.75,64234
289,G290,Nawalgarh,307.262824,2.814992828,956.76,63948
